title:one4, start timestamp:1732082852.539561, stop timestamp:1732082892.642803, headset type:EPOCX, headset serial:E5020C3A, headset firmware:730, channels:55, sampling rate:eeg_128, samples:5137      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4
1732082852.617643,1732082852.619304,107.000000,0.000000,4300.897461,4280.897461,4305.897461,4292.948730,4283.077148,4281.538574,4267.051270,4312.820313,4304.743652,4288.461426,4428.205078,4456.666504,4339.102539,4390.128418,1506.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.625451,1732082852.627212,108.000000,0.000000,4305.000000,4292.948730,4306.282227,4299.743652,4289.102539,4282.692383,4268.205078,4307.948730,4300.897461,4286.153809,4425.128418,4457.948730,4338.333496,4389.871582,1735.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.633260,1732082852.635020,109.000000,0.000000,4298.461426,4296.153809,4306.025879,4299.358887,4287.820313,4289.487305,4263.974121,4307.436035,4297.051270,4284.230957,4421.666504,4456.794922,4331.025879,4381.410156,1658.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.641068,1732082852.642629,110.000000,0.000000,4293.589844,4286.538574,4307.307617,4301.025879,4284.743652,4288.846191,4264.358887,4310.897461,4296.666504,4281.922852,4421.794922,4461.794922,4330.256348,4380.641113,1369.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.648876,1732082852.650437,111.000000,0.000000,4299.230957,4290.000000,4307.307617,4304.487305,4300.000000,4281.794922,4267.563965,4311.794922,4296.025879,4283.333496,4422.179688,4468.077148,4333.717773,4387.820313,1506.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.656685,1732082852.658145,112.000000,0.000000,4307.051270,4299.230957,4307.307617,4300.641113,4297.307617,4281.153809,4265.512695,4311.922852,4297.436035,4289.743652,4427.948730,4469.743652,4338.846191,4390.512695,1735.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.664493,1732082852.665953,113.000000,0.000000,4303.589844,4297.692383,4307.179688,4299.615234,4273.077148,4283.589844,4263.077148,4311.538574,4299.358887,4290.384766,4430.641113,4466.922852,4339.230957,4385.000000,1658.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.672301,1732082852.673562,114.000000,0.000000,4295.641113,4291.282227,4307.563965,4304.102539,4277.436035,4282.563965,4265.897461,4308.974121,4297.179688,4284.615234,4425.384766,4466.282227,4331.153809,4380.256348,1369.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.680109,1732082852.681370,115.000000,0.000000,4293.974121,4294.487305,4308.077148,4302.948730,4298.461426,4287.692383,4268.717773,4310.641113,4295.000000,4281.794922,4422.948730,4466.282227,4325.512695,4377.948730,1506.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
1732082852.687918,1732082852.689078,116.000000,0.000000,4292.179688,4300.128418,4306.153809,4299.871582,4293.717773,4292.179688,4266.922852,4318.717773,4299.743652,4281.410156,4421.410156,4459.615234,4327.051270,4378.333496,1735.000000,0.000000,8.000000,,,,0.000000,2.000000,2.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.666666,,,,,,,,,,,,,,,,
